date,location,tourist_count,latitude,longitude,type,capacity,density
2025-03-04,Jaipur Fort,5089,26.9855,75.8513,heritage,35000,14.5
2025-03-04,Kerala Backwaters,2838,9.4981,76.3388,eco,25000,11.4
2025-03-04,Hampi Ruins,5014,15.335,76.46,heritage,20000,25.1
2025-03-04,Udaipur Lakes,4935,24.5854,73.7125,heritage,30000,16.4
2025-03-04,Rishikesh,3436,30.0869,78.2676,spiritual,28000,12.3
2025-03-04,Munnar Hills,2669,10.0889,77.0595,eco,22000,12.1
2025-03-05,Goa Beach,7040,15.2993,73.9512,coastal,50000,14.1
2025-03-05,Taj Mahal,4138,27.1751,78.0421,heritage,40000,10.3
2025-03-05,Jaipur Fort,3871,26.9855,75.8513,heritage,35000,11.1
2025-03-05,Kerala Backwaters,2472,9.4981,76.3388,eco,25000,9.9
2025-03-05,Hampi Ruins,5149,15.335,76.46,heritage,20000,25.7
2025-03-05,Udaipur Lakes,4695,24.5854,73.7125,heritage,30000,15.7
2025-03-05,Rishikesh,4225,30.0869,78.2676,spiritual,28000,15.1
2025-03-05,Munnar Hills,2743,10.0889,77.0595,eco,22000,12.5
2025-03-06,Goa Beach,6597,15.2993,73.9512,coastal,50000,13.2
2025-03-06,Taj Mahal,4529,27.1751,78.0421,heritage,40000,11.3
2025-03-06,Jaipur Fort,4841,26.9855,75.8513,heritage,35000,13.8
2025-03-06,Kerala Backwaters,2427,9.4981,76.3388,eco,25000,9.7
2025-03-06,Hampi Ruins,4936,15.335,76.46,heritage,20000,24.7
2025-03-06,Udaipur Lakes,4144,24.5854,73.7125,heritage,30000,13.8
2025-03-06,Rishikesh,3857,30.0869,78.2676,spiritual,28000,13.8
2025-03-06,Munnar Hills,2788,10.0889,77.0595,eco,22000,12.7
2025-03-07,Goa Beach,6641,15.2993,73.9512,coastal,50000,13.3
2025-03-07,Taj Mahal,4418,27.1751,78.0421,heritage,40000,11.0
2025-03-07,Jaipur Fort,4269,26.9855,75.8513,heritage,35000,12.2
2025-03-07,Kerala Backwaters,2559,9.4981,76.3388,eco,25000,10.2
2025-03-07,Hampi Ruins,3914,15.335,76.46,heritage,20000,19.6
2025-03-07,Udaipur Lakes,4066,24.5854,73.7125,heritage,30000,13.6
2025-03-07,Rishikesh,3725,30.0869,78.2676,spiritual,28000,13.3
2025-03-07,Munnar Hills,2420,10.0889,77.0595,eco,22000,11.0
2025-03-08,Goa Beach,9247,15.2993,73.9512,coastal,50000,18.5
2025-03-08,Taj Mahal,6743,27.1751,78.0421,heritage,40000,16.9
2025-03-08,Jaipur Fort,6823,26.9855,75.8513,heritage,35000,19.5
2025-03-08,Kerala Backwaters,4151,9.4981,76.3388,eco,25000,16.6
2025-03-08,Hampi Ruins,5494,15.335,76.46,heritage,20000,27.5
2025-03-08,Udaipur Lakes,7244,24.5854,73.7125,heritage,30000,24.1
2025-03-08,Rishikesh,6261,30.0869,78.2676,spiritual,28000,22.4
2025-03-08,Munnar Hills,3163,10.0889,77.0595,eco,22000,14.4
2025-03-09,Goa Beach,8062,15.2993,73.9512,coastal,50000,16.1
2025-03-09,Taj Mahal,5801,27.1751,78.0421,heritage,40000,14.5
2025-03-09,Jaipur Fort,6727,26.9855,75.8513,heritage,35000,19.2
2025-03-09,Kerala Backwaters,3562,9.4981,76.3388,eco,25000,14.2
2025-03-09,Hampi Ruins,6228,15.335,76.46,heritage,20000,31.1
2025-03-09,Udaipur Lakes,6859,24.5854,73.7125,heritage,30000,22.9
2025-03-09,Rishikesh,5613,30.0869,78.2676,spiritual,28000,20.0
2025-03-09,Munnar Hills,3936,10.0889,77.0595,eco,22000,17.9
2025-03-10,Goa Beach,9225,15.2993,73.9512,coastal,50000,18.4
2025-03-10,Taj Mahal,7533,27.1751,78.0421,heritage,40000,18.8
2025-03-10,Jaipur Fort,6456,26.9855,75.8513,heritage,35000,18.4
2025-03-10,Kerala Backwaters,4181,9.4981,76.3388,eco,25000,16.7
2025-03-10,Hampi Ruins,5726,15.335,76.46,heritage,20000,28.6
2025-03-10,Udaipur Lakes,6460,24.5854,73.7125,heritage,30000,21.5
2025-03-10,Rishikesh,6327,30.0869,78.2676,spiritual,28000,22.6
2025-03-10,Munnar Hills,4329,10.0889,77.0595,eco,22000,19.7
2025-03-11,Goa Beach,9329,15.2993,73.9512,coastal,50000,18.7
2025-03-11,Taj Mahal,6891,27.1751,78.0421,heritage,40000,17.2
2025-03-11,Jaipur Fort,6793,26.9855,75.8513,heritage,35000,19.4
2025-03-11,Kerala Backwaters,3507,9.4981,76.3388,eco,25000,14.0
2025-03-11,Hampi Ruins,6657,15.335,76.46,heritage,20000,33.3
2025-03-11,Udaipur Lakes,7140,24.5854,73.7125,heritage,30000,23.8
2025-03-11,Rishikesh,5777,30.0869,78.2676,spiritual,28000,20.6
2025-03-11,Munnar Hills,3316,10.0889,77.0595,eco,22000,15.1
2025-03-12,Goa Beach,10585,15.2993,73.9512,coastal,50000,21.2
2025-03-12,Taj Mahal,7555,27.1751,78.0421,heritage,40000,18.9
2025-03-12,Jaipur Fort,7004,26.9855,75.8513,heritage,35000,20.0
2025-03-12,Kerala Backwaters,3585,9.4981,76.3388,eco,25000,14.3
2025-03-12,Hampi Ruins,5652,15.335,76.46,heritage,20000,28.3
2025-03-12,Udaipur Lakes,6996,24.5854,73.7125,heritage,30000,23.3
2025-03-12,Rishikesh,6130,30.0869,78.2676,spiritual,28000,21.9
2025-03-12,Munnar Hills,4112,10.0889,77.0595,eco,22000,18.7
2025-03-13,Goa Beach,10102,15.2993,73.9512,coastal,50000,20.2
2025-03-13,Taj Mahal,6862,27.1751,78.0421,heritage,40000,17.2
2025-03-13,Jaipur Fort,6825,26.9855,75.8513,heritage,35000,19.5
2025-03-13,Kerala Backwaters,3701,9.4981,76.3388,eco,25000,14.8
2025-03-13,Hampi Ruins,6839,15.335,76.46,heritage,20000,34.2
2025-03-13,Udaipur Lakes,6173,24.5854,73.7125,heritage,30000,20.6
2025-03-13,Rishikesh,4849,30.0869,78.2676,spiritual,28000,17.3
2025-03-13,Munnar Hills,4098,10.0889,77.0595,eco,22000,18.6
2025-03-14,Goa Beach,8723,15.2993,73.9512,coastal,50000,17.4
2025-03-14,Taj Mahal,7037,27.1751,78.0421,heritage,40000,17.6
2025-03-14,Jaipur Fort,6120,26.9855,75.8513,heritage,35000,17.5
2025-03-14,Kerala Backwaters,4147,9.4981,76.3388,eco,25000,16.6
2025-03-14,Hampi Ruins,6879,15.335,76.46,heritage,20000,34.4
2025-03-14,Udaipur Lakes,5864,24.5854,73.7125,heritage,30000,19.5
2025-03-14,Rishikesh,6371,30.0869,78.2676,spiritual,28000,22.8
2025-03-14,Munnar Hills,3391,10.0889,77.0595,eco,22000,15.4
2025-03-15,Goa Beach,12557,15.2993,73.9512,coastal,50000,25.1
2025-03-15,Taj Mahal,9652,27.1751,78.0421,heritage,40000,24.1
2025-03-15,Jaipur Fort,7973,26.9855,75.8513,heritage,35000,22.8
2025-03-15,Kerala Backwaters,5529,9.4981,76.3388,eco,25000,22.1
2025-03-15,Hampi Ruins,8345,15.335,76.46,heritage,20000,41.7
2025-03-15,Udaipur Lakes,8946,24.5854,73.7125,heritage,30000,29.8
2025-03-15,Rishikesh,8894,30.0869,78.2676,spiritual,28000,31.8
2025-03-15,Munnar Hills,5788,10.0889,77.0595,eco,22000,26.3
2025-03-16,Goa Beach,10177,15.2993,73.9512,coastal,50000,20.4
2025-03-16,Taj Mahal,5685,27.1751,78.0421,heritage,40000,14.2
2025-03-16,Jaipur Fort,6906,26.9855,75.8513,heritage,35000,19.7
2025-03-16,Kerala Backwaters,3949,9.4981,76.3388,eco,25000,15.8
2025-03-16,Hampi Ruins,5900,15.335,76.46,heritage,20000,29.5
2025-03-16,Udaipur Lakes,6353,24.5854,73.7125,heritage,30000,21.2
2025-03-16,Rishikesh,5752,30.0869,78.2676,spiritual,28000,20.5
2025-03-16,Munnar Hills,3400,10.0889,77.0595,eco,22000,15.5
2025-03-17,Goa Beach,6292,15.2993,73.9512,coastal,50000,12.6
2025-03-17,Taj Mahal,4658,27.1751,78.0421,heritage,40000,11.6
2025-03-17,Jaipur Fort,4071,26.9855,75.8513,heritage,35000,11.6
2025-03-17,Kerala Backwaters,2338,9.4981,76.3388,eco,25000,9.4
2025-03-17,Hampi Ruins,4520,15.335,76.46,heritage,20000,22.6
2025-03-17,Udaipur Lakes,4806,24.5854,73.7125,heritage,30000,16.0
2025-03-17,Rishikesh,4383,30.0869,78.2676,spiritual,28000,15.7
2025-03-17,Munnar Hills,2698,10.0889,77.0595,eco,22000,12.3
2025-03-18,Goa Beach,6277,15.2993,73.9512,coastal,50000,12.6
2025-03-18,Taj Mahal,4743,27.1751,78.0421,heritage,40000,11.9
2025-03-18,Jaipur Fort,4027,26.9855,75.8513,heritage,35000,11.5
2025-03-18,Kerala Backwaters,2458,9.4981,76.3388,eco,25000,9.8
2025-03-18,Hampi Ruins,5149,15.335,76.46,heritage,20000,25.7
2025-03-18,Udaipur Lakes,4236,24.5854,73.7125,heritage,30000,14.1
2025-03-18,Rishikesh,3680,30.0869,78.2676,spiritual,28000,13.1
2025-03-18,Munnar Hills,2337,10.0889,77.0595,eco,22000,10.6
2025-03-19,Goa Beach,5850,15.2993,73.9512,coastal,50000,11.7
2025-03-19,Taj Mahal,4936,27.1751,78.0421,heritage,40000,12.3
2025-03-19,Jaipur Fort,5204,26.9855,75.8513,heritage,35000,14.9
2025-03-19,Kerala Backwaters,2952,9.4981,76.3388,eco,25000,11.8
2025-03-19,Hampi Ruins,4653,15.335,76.46,heritage,20000,23.3
2025-03-19,Udaipur Lakes,4228,24.5854,73.7125,heritage,30000,14.1
2025-03-19,Rishikesh,4070,30.0869,78.2676,spiritual,28000,14.5
2025-03-19,Munnar Hills,2831,10.0889,77.0595,eco,22000,12.9
2025-03-20,Goa Beach,6666,15.2993,73.9512,coastal,50000,13.3
2025-03-20,Taj Mahal,4333,27.1751,78.0421,heritage,40000,10.8
2025-03-20,Jaipur Fort,4469,26.9855,75.8513,heritage,35000,12.8
2025-03-20,Kerala Backwaters,2650,9.4981,76.3388,eco,25000,10.6
2025-03-20,Hampi Ruins,5134,15.335,76.46,heritage,20000,25.7
2025-03-20,Udaipur Lakes,4150,24.5854,73.7125,heritage,30000,13.8
2025-03-20,Rishikesh,4449,30.0869,78.2676,spiritual,28000,15.9
2025-03-20,Munnar Hills,2216,10.0889,77.0595,eco,22000,10.1
2025-03-21,Goa Beach,6480,15.2993,73.9512,coastal,50000,13.0
2025-03-21,Taj Mahal,4277,27.1751,78.0421,heritage,40000,10.7
2025-03-21,Jaipur Fort,4108,26.9855,75.8513,heritage,35000,11.7
2025-03-21,Kerala Backwaters,2408,9.4981,76.3388,eco,25000,9.6
2025-03-21,Hampi Ruins,5137,15.335,76.46,heritage,20000,25.7
2025-03-21,Udaipur Lakes,5096,24.5854,73.7125,heritage,30000,17.0
2025-03-21,Rishikesh,4150,30.0869,78.2676,spiritual,28000,14.8
2025-03-21,Munnar Hills,2519,10.0889,77.0595,eco,22000,11.5
2025-03-22,Goa Beach,8824,15.2993,73.9512,coastal,50000,17.6
2025-03-22,Taj Mahal,7225,27.1751,78.0421,heritage,40000,18.1
2025-03-22,Jaipur Fort,5788,26.9855,75.8513,heritage,35000,16.5
2025-03-22,Kerala Backwaters,4035,9.4981,76.3388,eco,25000,16.1
2025-03-22,Hampi Ruins,5819,15.335,76.46,heritage,20000,29.1
2025-03-22,Udaipur Lakes,5803,24.5854,73.7125,heritage,30000,19.3
2025-03-22,Rishikesh,6218,30.0869,78.2676,spiritual,28000,22.2
2025-03-22,Munnar Hills,3621,10.0889,77.0595,eco,22000,16.5
2025-03-23,Goa Beach,8729,15.2993,73.9512,coastal,50000,17.5
2025-03-23,Taj Mahal,6841,27.1751,78.0421,heritage,40000,17.1
2025-03-23,Jaipur Fort,6606,26.9855,75.8513,heritage,35000,18.9
2025-03-23,Kerala Backwaters,3388,9.4981,76.3388,eco,25000,13.6
2025-03-23,Hampi Ruins,6142,15.335,76.46,heritage,20000,30.7
2025-03-23,Udaipur Lakes,7264,24.5854,73.7125,heritage,30000,24.2
2025-03-23,Rishikesh,5088,30.0869,78.2676,spiritual,28000,18.2
2025-03-23,Munnar Hills,3896,10.0889,77.0595,eco,22000,17.7
2025-03-24,Goa Beach,6193,15.2993,73.9512,coastal,50000,12.4
2025-03-24,Taj Mahal,4705,27.1751,78.0421,heritage,40000,11.8
2025-03-24,Jaipur Fort,4257,26.9855,75.8513,heritage,35000,12.2
2025-03-24,Kerala Backwaters,2280,9.4981,76.3388,eco,25000,9.1
2025-03-24,Hampi Ruins,5185,15.335,76.46,heritage,20000,25.9
2025-03-24,Udaipur Lakes,4249,24.5854,73.7125,heritage,30000,14.2
2025-03-24,Rishikesh,4175,30.0869,78.2676,spiritual,28000,14.9
2025-03-24,Munnar Hills,2723,10.0889,77.0595,eco,22000,12.4
2025-03-25,Goa Beach,6863,15.2993,73.9512,coastal,50000,13.7
2025-03-25,Taj Mahal,4727,27.1751,78.0421,heritage,40000,11.8
2025-03-25,Jaipur Fort,4511,26.9855,75.8513,heritage,35000,12.9
2025-03-25,Kerala Backwaters,2520,9.4981,76.3388,eco,25000,10.1
2025-03-25,Hampi Ruins,3895,15.335,76.46,heritage,20000,19.5
2025-03-25,Udaipur Lakes,4435,24.5854,73.7125,heritage,30000,14.8
2025-03-25,Rishikesh,3832,30.0869,78.2676,spiritual,28000,13.7
2025-03-25,Munnar Hills,2473,10.0889,77.0595,eco,22000,11.2
2025-03-26,Goa Beach,7065,15.2993,73.9512,coastal,50000,14.1
2025-03-26,Taj Mahal,4772,27.1751,78.0421,heritage,40000,11.9
2025-03-26,Jaipur Fort,3940,26.9855,75.8513,heritage,35000,11.3
2025-03-26,Kerala Backwaters,2477,9.4981,76.3388,eco,25000,9.9
2025-03-26,Hampi Ruins,4620,15.335,76.46,heritage,20000,23.1
2025-03-26,Udaipur Lakes,4103,24.5854,73.7125,heritage,30000,13.7
2025-03-26,Rishikesh,4233,30.0869,78.2676,spiritual,28000,15.1
2025-03-26,Munnar Hills,2649,10.0889,77.0595,eco,22000,12.0
2025-03-27,Goa Beach,7390,15.2993,73.9512,coastal,50000,14.8
2025-03-27,Taj Mahal,5077,27.1751,78.0421,heritage,40000,12.7
2025-03-27,Jaipur Fort,5217,26.9855,75.8513,heritage,35000,14.9
2025-03-27,Kerala Backwaters,2771,9.4981,76.3388,eco,25000,11.1
2025-03-27,Hampi Ruins,4815,15.335,76.46,heritage,20000,24.1
2025-03-27,Udaipur Lakes,5062,24.5854,73.7125,heritage,30000,16.9
2025-03-27,Rishikesh,3560,30.0869,78.2676,spiritual,28000,12.7
2025-03-27,Munnar Hills,2430,10.0889,77.0595,eco,22000,11.0
2025-03-28,Goa Beach,5947,15.2993,73.9512,coastal,50000,11.9
2025-03-28,Taj Mahal,5076,27.1751,78.0421,heritage,40000,12.7
2025-03-28,Jaipur Fort,4213,26.9855,75.8513,heritage,35000,12.0
2025-03-28,Kerala Backwaters,2647,9.4981,76.3388,eco,25000,10.6
2025-03-28,Hampi Ruins,4708,15.335,76.46,heritage,20000,23.5
2025-03-28,Udaipur Lakes,5035,24.5854,73.7125,heritage,30000,16.8
2025-03-28,Rishikesh,4021,30.0869,78.2676,spiritual,28000,14.4
2025-03-28,Munnar Hills,2922,10.0889,77.0595,eco,22000,13.3
2025-03-29,Goa Beach,8518,15.2993,73.9512,coastal,50000,17.0
2025-03-29,Taj Mahal,5869,27.1751,78.0421,heritage,40000,14.7
2025-03-29,Jaipur Fort,5491,26.9855,75.8513,heritage,35000,15.7
2025-03-29,Kerala Backwaters,3666,9.4981,76.3388,eco,25000,14.7
2025-03-29,Hampi Ruins,6631,15.335,76.46,heritage,20000,33.2
2025-03-29,Udaipur Lakes,5495,24.5854,73.7125,heritage,30000,18.3
2025-03-29,Rishikesh,5467,30.0869,78.2676,spiritual,28000,19.5
2025-03-29,Munnar Hills,3177,10.0889,77.0595,eco,22000,14.4
2025-03-30,Goa Beach,8634,15.2993,73.9512,coastal,50000,17.3
2025-03-30,Taj Mahal,5661,27.1751,78.0421,heritage,40000,14.2
2025-03-30,Jaipur Fort,6182,26.9855,75.8513,heritage,35000,17.7
2025-03-30,Kerala Backwaters,3831,9.4981,76.3388,eco,25000,15.3
2025-03-30,Hampi Ruins,5676,15.335,76.46,heritage,20000,28.4
2025-03-30,Udaipur Lakes,5800,24.5854,73.7125,heritage,30000,19.3
2025-03-30,Rishikesh,4834,30.0869,78.2676,spiritual,28000,17.3
2025-03-30,Munnar Hills,3128,10.0889,77.0595,eco,22000,14.2
2025-03-31,Goa Beach,5542,15.2993,73.9512,coastal,50000,11.1
2025-03-31,Taj Mahal,3895,27.1751,78.0421,heritage,40000,9.7
2025-03-31,Jaipur Fort,3897,26.9855,75.8513,heritage,35000,11.1
2025-03-31,Kerala Backwaters,2471,9.4981,76.3388,eco,25000,9.9
2025-03-31,Hampi Ruins,4298,15.335,76.46,heritage,20000,21.5
2025-03-31,Udaipur Lakes,4884,24.5854,73.7125,heritage,30000,16.3
2025-03-31,Rishikesh,4272,30.0869,78.2676,spiritual,28000,15.3
2025-03-31,Munnar Hills,2478,10.0889,77.0595,eco,22000,11.3
2025-04-01,Goa Beach,6588,15.2993,73.9512,coastal,50000,13.2
2025-04-01,Taj Mahal,4311,27.1751,78.0421,heritage,40000,10.8
2025-04-01,Jaipur Fort,4157,26.9855,75.8513,heritage,35000,11.9
2025-04-01,Kerala Backwaters,2776,9.4981,76.3388,eco,25000,11.1
2025-04-01,Hampi Ruins,4021,15.335,76.46,heritage,20000,20.1
2025-04-01,Udaipur Lakes,3895,24.5854,73.7125,heritage,30000,13.0
2025-04-01,Rishikesh,4436,30.0869,78.2676,spiritual,28000,15.8
2025-04-01,Munnar Hills,2614,10.0889,77.0595,eco,22000,11.9
2025-04-02,Goa Beach,5584,15.2993,73.9512,coastal,50000,11.2
2025-04-02,Taj Mahal,5107,27.1751,78.0421,heritage,40000,12.8
2025-04-02,Jaipur Fort,5064,26.9855,75.8513,heritage,35000,14.5
2025-04-02,Kerala Backwaters,2834,9.4981,76.3388,eco,25000,11.3
2025-04-02,Hampi Ruins,4183,15.335,76.46,heritage,20000,20.9
2025-04-02,Udaipur Lakes,4133,24.5854,73.7125,heritage,30000,13.8
2025-04-02,Rishikesh,3995,30.0869,78.2676,spiritual,28000,14.3
2025-04-02,Munnar Hills,2774,10.0889,77.0595,eco,22000,12.6
2025-04-03,Goa Beach,7076,15.2993,73.9512,coastal,50000,14.2
2025-04-03,Taj Mahal,5087,27.1751,78.0421,heritage,40000,12.7
2025-04-03,Jaipur Fort,5165,26.9855,75.8513,heritage,35000,14.8
2025-04-03,Kerala Backwaters,2819,9.4981,76.3388,eco,25000,11.3
2025-04-03,Hampi Ruins,4277,15.335,76.46,heritage,20000,21.4
2025-04-03,Udaipur Lakes,4416,24.5854,73.7125,heritage,30000,14.7
2025-04-03,Rishikesh,3570,30.0869,78.2676,spiritual,28000,12.8
2025-04-03,Munnar Hills,2875,10.0889,77.0595,eco,22000,13.1
2025-04-04,Goa Beach,6877,15.2993,73.9512,coastal,50000,13.8
2025-04-04,Taj Mahal,4029,27.1751,78.0421,heritage,40000,10.1
2025-04-04,Jaipur Fort,4729,26.9855,75.8513,heritage,35000,13.5
2025-04-04,Kerala Backwaters,2708,9.4981,76.3388,eco,25000,10.8
2025-04-04,Hampi Ruins,4459,15.335,76.46,heritage,20000,22.3
2025-04-04,Udaipur Lakes,4527,24.5854,73.7125,heritage,30000,15.1
2025-04-04,Rishikesh,3538,30.0869,78.2676,spiritual,28000,12.6
2025-04-04,Munnar Hills,2389,10.0889,77.0595,eco,22000,10.9
2025-04-05,Goa Beach,7981,15.2993,73.9512,coastal,50000,16.0
2025-04-05,Taj Mahal,5511,27.1751,78.0421,heritage,40000,13.8
2025-04-05,Jaipur Fort,6156,26.9855,75.8513,heritage,35000,17.6
2025-04-05,Kerala Backwaters,3313,9.4981,76.3388,eco,25000,13.3
2025-04-05,Hampi Ruins,7070,15.335,76.46,heritage,20000,35.4
2025-04-05,Udaipur Lakes,7287,24.5854,73.7125,heritage,30000,24.3
2025-04-05,Rishikesh,5553,30.0869,78.2676,spiritual,28000,19.8
2025-04-05,Munnar Hills,3453,10.0889,77.0595,eco,22000,15.7
2025-04-06,Goa Beach,8037,15.2993,73.9512,coastal,50000,16.1
2025-04-06,Taj Mahal,6382,27.1751,78.0421,heritage,40000,16.0
2025-04-06,Jaipur Fort,7025,26.9855,75.8513,heritage,35000,20.1
2025-04-06,Kerala Backwaters,3314,9.4981,76.3388,eco,25000,13.3
2025-04-06,Hampi Ruins,7062,15.335,76.46,heritage,20000,35.3
2025-04-06,Udaipur Lakes,6684,24.5854,73.7125,heritage,30000,22.3
2025-04-06,Rishikesh,5917,30.0869,78.2676,spiritual,28000,21.1
2025-04-06,Munnar Hills,3656,10.0889,77.0595,eco,22000,16.6
2025-04-07,Goa Beach,7154,15.2993,73.9512,coastal,50000,14.3
2025-04-07,Taj Mahal,4975,27.1751,78.0421,heritage,40000,12.4
2025-04-07,Jaipur Fort,5018,26.9855,75.8513,heritage,35000,14.3
2025-04-07,Kerala Backwaters,2503,9.4981,76.3388,eco,25000,10.0
2025-04-07,Hampi Ruins,5163,15.335,76.46,heritage,20000,25.8
2025-04-07,Udaipur Lakes,3938,24.5854,73.7125,heritage,30000,13.1
2025-04-07,Rishikesh,4346,30.0869,78.2676,spiritual,28000,15.5
2025-04-07,Munnar Hills,2919,10.0889,77.0595,eco,22000,13.3
2025-04-08,Goa Beach,6549,15.2993,73.9512,coastal,50000,13.1
2025-04-08,Taj Mahal,3870,27.1751,78.0421,heritage,40000,9.7
2025-04-08,Jaipur Fort,3885,26.9855,75.8513,heritage,35000,11.1
2025-04-08,Kerala Backwaters,2302,9.4981,76.3388,eco,25000,9.2
2025-04-08,Hampi Ruins,4692,15.335,76.46,heritage,20000,23.5
2025-04-08,Udaipur Lakes,4350,24.5854,73.7125,heritage,30000,14.5
2025-04-08,Rishikesh,3461,30.0869,78.2676,spiritual,28000,12.4
2025-04-08,Munnar Hills,2843,10.0889,77.0595,eco,22000,12.9
2025-04-09,Goa Beach,7281,15.2993,73.9512,coastal,50000,14.6
2025-04-09,Taj Mahal,4643,27.1751,78.0421,heritage,40000,11.6
2025-04-09,Jaipur Fort,4170,26.9855,75.8513,heritage,35000,11.9
2025-04-09,Kerala Backwaters,2528,9.4981,76.3388,eco,25000,10.1
