tourist_id,spending_inr,duration_days,transport_mode,accommodation_type,group_type,segment
T00454,14596,2,car,budget,couple,weekend
T00455,6997,2,train,mid,couple,weekend
T00456,37203,10,car,luxury,family,luxury
T00457,59224,5,car,luxury,family,luxury
T00458,14934,7,bus,eco,group,eco
T00459,70954,10,car,luxury,family,luxury
T00460,49495,7,car,luxury,family,luxury
T00461,2255,3,bus,budget,solo,budget
T00462,2618,3,train,budget,couple,budget
T00463,59495,14,flight,luxury,family,luxury
T00464,47673,5,flight,luxury,couple,luxury
T00465,42708,14,car,luxury,couple,luxury
T00466,16187,4,train,eco,family,eco
T00467,8901,3,train,budget,couple,weekend
T00468,10027,4,train,eco,group,eco
T00469,17794,4,train,eco,solo,eco
T00470,9093,4,train,eco,couple,eco
T00471,39770,7,flight,luxury,family,luxury
T00472,33832,7,flight,luxury,solo,luxury
T00473,73554,14,flight,luxury,couple,luxury
T00474,6589,3,bus,budget,couple,budget
T00475,6463,3,train,budget,family,weekend
T00476,12512,3,car,budget,solo,weekend
T00477,3863,3,bus,budget,couple,budget
T00478,8188,2,train,mid,solo,weekend
T00479,59885,14,flight,luxury,group,luxury
T00480,2428,1,train,budget,solo,budget
T00481,18447,7,bus,eco,family,eco
T00482,77239,14,flight,luxury,group,luxury
T00483,12760,7,bus,eco,solo,eco
T00484,53841,5,flight,luxury,family,luxury
T00485,12350,2,train,budget,solo,weekend
T00486,15892,7,train,eco,family,eco
T00487,35939,14,flight,luxury,couple,luxury
T00488,3342,1,bus,budget,solo,budget
T00489,13954,2,car,budget,solo,weekend
T00490,13628,7,train,eco,group,eco
T00491,63949,5,flight,luxury,group,luxury
T00492,63931,14,flight,luxury,family,luxury
T00493,14325,5,bicycle,eco,family,eco
T00494,40406,5,flight,luxury,group,luxury
T00495,7192,2,car,mid,family,weekend
T00496,3294,2,bus,budget,solo,budget
T00497,4797,2,bus,budget,couple,budget
T00498,18889,4,train,eco,group,eco
T00499,60532,7,flight,luxury,family,luxury
T00500,6300,2,train,budget,family,budget
T00501,12829,3,train,mid,couple,weekend
T00502,18140,7,bus,eco,family,eco
T00503,11326,4,train,eco,solo,eco
T00504,5097,1,bus,budget,family,budget
T00505,7787,2,train,budget,family,budget
T00506,9200,2,car,budget,couple,weekend
T00507,7007,3,train,mid,couple,weekend
T00508,9238,7,bus,eco,couple,eco
T00509,52490,5,flight,luxury,group,luxury
T00510,15049,7,train,eco,family,eco
T00511,4007,3,train,budget,family,budget
T00512,8870,7,bus,eco,group,eco
T00513,9985,7,train,eco,couple,eco
T00514,43794,14,flight,luxury,couple,luxury
T00515,9237,3,car,mid,couple,weekend
T00516,9909,3,train,budget,solo,weekend
T00517,10138,3,car,mid,family,weekend
T00518,79010,7,flight,luxury,solo,luxury
T00519,16189,4,bicycle,eco,group,eco
T00520,37547,5,flight,luxury,family,luxury
T00521,4807,1,bus,budget,couple,budget
T00522,6945,3,car,mid,solo,weekend
T00523,2737,2,train,budget,couple,budget
T00524,15620,5,bus,eco,solo,eco
T00525,42037,14,car,luxury,group,luxury
T00526,15246,5,train,eco,couple,eco
T00527,48414,7,flight,luxury,group,luxury
T00528,13536,7,bus,eco,family,eco
T00529,10486,4,train,eco,group,eco
T00530,5975,1,bus,budget,couple,budget
T00531,78262,5,flight,luxury,family,luxury
T00532,41922,7,car,luxury,couple,luxury
T00533,12125,2,train,mid,family,weekend
T00534,8552,3,car,budget,family,weekend
T00535,51869,7,car,luxury,family,luxury
T00536,4185,3,train,budget,group,budget
T00537,5776,2,bus,budget,group,budget
T00538,12745,3,car,mid,group,weekend
T00539,3295,1,bus,budget,couple,budget
T00540,10622,3,car,budget,couple,weekend
T00541,6900,3,train,mid,family,weekend
T00542,12255,4,bicycle,eco,family,eco
T00543,4714,1,train,budget,family,budget
T00544,2402,1,bus,budget,couple,budget
T00545,33164,14,flight,luxury,couple,luxury
T00546,12680,2,car,budget,solo,weekend
T00547,5399,1,train,budget,couple,budget
T00548,9632,5,bicycle,eco,family,eco
T00549,2590,1,train,budget,solo,budget
T00550,3866,1,bus,budget,couple,budget
T00551,74059,5,flight,luxury,family,luxury
T00552,9300,7,bicycle,eco,family,eco
T00553,4073,1,train,budget,family,budget
T00554,2179,1,train,budget,family,budget
T00555,5821,1,bus,budget,group,budget
T00556,8990,7,bicycle,eco,solo,eco
T00557,79456,7,flight,luxury,solo,luxury
T00558,4978,2,train,budget,solo,budget
T00559,13615,7,train,eco,couple,eco
T00560,42315,10,car,luxury,couple,luxury
T00561,62714,5,flight,luxury,solo,luxury
T00562,3714,1,bus,budget,couple,budget
T00563,7394,2,car,budget,family,weekend
T00564,54711,14,flight,luxury,family,luxury
T00565,2373,3,train,budget,group,budget
T00566,63939,7,flight,luxury,family,luxury
T00567,4016,1,train,budget,family,budget
T00568,11884,3,car,mid,couple,weekend
T00569,11869,7,bicycle,eco,solo,eco
T00570,11817,5,train,eco,family,eco
T00571,34612,5,flight,luxury,couple,luxury
T00572,65922,10,flight,luxury,couple,luxury
T00573,4255,3,bus,budget,solo,budget
T00574,11128,2,train,mid,family,weekend
T00575,2357,2,bus,budget,couple,budget
T00576,6689,2,train,budget,couple,budget
T00577,10779,4,train,eco,couple,eco
T00578,11712,2,car,mid,couple,weekend
T00579,10445,2,train,budget,family,weekend
T00580,61687,5,car,luxury,couple,luxury
T00581,6582,3,train,budget,couple,budget
T00582,7323,2,train,mid,family,weekend
T00583,7725,3,car,mid,family,weekend
T00584,3819,1,bus,budget,couple,budget
T00585,5518,2,train,budget,solo,budget
T00586,42069,14,flight,luxury,solo,luxury
T00587,75260,5,flight,luxury,solo,luxury
T00588,16717,4,train,eco,group,eco
T00589,58917,10,car,luxury,group,luxury
T00590,5154,3,car,mid,solo,weekend
T00591,11672,3,car,budget,couple,weekend
T00592,4956,2,train,budget,solo,budget
T00593,6783,3,train,budget,solo,budget
T00594,6967,2,train,mid,family,weekend
T00595,4347,3,bus,budget,family,budget
T00596,16163,4,bus,eco,group,eco
T00597,64666,7,flight,luxury,family,luxury
T00598,9984,2,train,mid,couple,weekend
T00599,11380,7,bicycle,eco,couple,eco
T00600,7668,1,bus,budget,solo,budget
T00601,5065,3,bus,budget,couple,budget
T00602,67780,7,flight,luxury,group,luxury
T00603,5762,3,car,mid,family,weekend
T00604,46757,5,car,luxury,solo,luxury
T00605,11810,3,car,budget,family,weekend
T00606,42428,10,flight,luxury,solo,luxury
T00607,9702,2,train,budget,couple,weekend
T00608,7790,1,train,budget,couple,budget
T00609,7414,1,train,budget,couple,budget
T00610,13069,7,bus,eco,family,eco
T00611,32023,5,flight,luxury,solo,luxury
T00612,12578,5,train,eco,couple,eco
T00613,5568,1,bus,budget,family,budget
T00614,11699,5,bus,eco,couple,eco
T00615,6279,2,train,budget,couple,budget
T00616,17831,5,bicycle,eco,group,eco
T00617,4544,3,bus,budget,family,budget
T00618,4236,2,bus,budget,group,budget
T00619,13346,2,car,mid,family,weekend
T00620,41433,5,flight,luxury,solo,luxury
T00621,2469,1,bus,budget,family,budget
T00622,12214,3,car,mid,family,weekend
T00623,78020,5,car,luxury,solo,luxury
T00624,60039,5,flight,luxury,family,luxury
T00625,45461,7,car,luxury,solo,luxury
T00626,78894,5,flight,luxury,family,luxury
T00627,16329,7,bicycle,eco,couple,eco
T00628,4099,2,train,budget,couple,budget
T00629,5870,2,bus,budget,family,budget
T00630,13211,4,bus,eco,couple,eco
T00631,5011,1,train,budget,family,budget
T00632,9092,4,train,eco,group,eco
T00633,14061,2,car,budget,family,weekend
T00634,15845,4,train,eco,couple,eco
T00635,40030,14,flight,luxury,family,luxury
T00636,4355,1,train,budget,group,budget
T00637,8330,7,bus,eco,group,eco
T00638,7472,2,train,budget,group,weekend
T00639,30844,10,flight,luxury,solo,luxury
T00640,12338,3,car,budget,couple,weekend
T00641,7893,1,bus,budget,family,budget
T00642,4943,2,train,budget,family,budget
T00643,9967,3,car,budget,couple,weekend
T00644,12950,2,train,mid,family,weekend
T00645,5796,2,train,budget,family,budget
T00646,60345,5,flight,luxury,family,luxury
T00647,5607,1,bus,budget,family,budget
T00648,8589,4,train,eco,solo,eco
T00649,9043,4,bus,eco,group,eco
T00650,9268,5,bicycle,eco,couple,eco
T00651,9409,3,train,budget,solo,weekend
T00652,8760,2,car,budget,couple,weekend
T00653,18160,5,train,eco,solo,eco
T00654,6532,2,train,budget,family,budget
T00655,8072,2,car,mid,family,weekend
T00656,6788,3,bus,budget,couple,budget
T00657,38123,7,flight,luxury,solo,luxury
T00658,9428,7,train,eco,group,eco
T00659,12140,4,train,eco,couple,eco
T00660,2930,2,bus,budget,family,budget
T00661,7114,1,train,budget,family,budget
T00662,7967,3,car,budget,family,weekend
T00663,13756,4,train,eco,family,eco
T00664,50266,5,flight,luxury,couple,luxury
T00665,8564,3,car,budget,couple,weekend
T00666,2097,1,bus,budget,family,budget
T00667,3668,1,bus,budget,couple,budget
T00668,2090,2,bus,budget,family,budget
T00669,52408,5,flight,luxury,family,luxury
T00670,17009,5,train,eco,couple,eco
T00671,5764,2,car,mid,family,weekend
T00672,13797,2,train,mid,couple,weekend
